chamfer_l1_x1e3,chamfer_l2_x1e3,fscore@0.005,fscore@0.01,fscore@0.02,normal_consistency,rec_verts,rec_faces,model,variant,method,depth,poisson_time_sec
1.682335770868144,0.003896989347130497,0.9891168152846925,0.999244429544306,1.0,0.9998082642838341,63309,124037,sphere,clean,wnnc_cuda,8,1.2536134719848633
1.6844249554918003,0.003919920790988071,0.9890408637719255,0.9993045166390642,1.0,0.9998105629830207,63310,124036,sphere,clean,ours_torch,8,1.2729356288909912
1.6824155993084453,0.003902396979312835,0.9889695918429249,0.9993445706938044,1.0,0.9998163828082794,63313,124048,sphere,clean,pca_mst,8,1.303673505783081
2.020088162822738,0.0051052544485492455,0.9880545720877987,0.9991542853711386,1.0,0.9570860212743337,63318,124152,sphere,sigmap0025,wnnc_cuda,8,1.393371343612671
2.0218360725486955,0.005110778039490039,0.9881103337802626,0.9991342511272251,1.0,0.9580120130923567,63231,123994,sphere,sigmap0025,ours_torch,8,1.3043391704559326
1.9026533501491283,0.004618724994753773,0.9887395661627143,0.9991542853711386,1.0,0.9724951874642463,62277,122092,sphere,sigmap0025,pca_mst,8,1.2913663387298584
3.0539627498109168,0.011604843092784154,0.8960085196674663,0.9986048357458654,1.0,0.862438927964426,66945,131253,sphere,sigmap005,wnnc_cuda,8,1.4397547245025635
3.126020672979151,0.012179385128761475,0.8834261372200658,0.9985499774673275,1.0,0.8545061700698133,67758,132844,sphere,sigmap005,ours_torch,8,1.5171840190887451
2.3374813804183883,0.006743631525812099,0.9801900193820197,0.999004008988944,1.0,0.9275525928413181,62099,121750,sphere,sigmap005,pca_mst,8,1.4406487941741943
7.409691501593473,0.06523052043551153,0.2320082126600716,0.766582848123019,0.9999249943745782,0.7988409317133256,113911,224913,sphere,sigmap01,wnnc_cuda,8,1.8960237503051758
7.393120093190508,0.06456240854472121,0.2275905497501136,0.7726954742348809,0.9999599983999361,0.8092683531859914,114111,225423,sphere,sigmap01,ours_torch,8,1.564868688583374
3.867555866508993,0.019430296170208545,0.7441775902275025,0.9875652007593977,1.0,0.7823065334183571,69275,135235,sphere,sigmap01,pca_mst,8,1.4623644351959229
1.7609887495713776,0.0051213871092930146,0.9680921065150427,0.9949546724557278,1.0,0.9993394227898819,96469,189079,torus,clean,wnnc_cuda,8,1.4866204261779785
1.7605400216880633,0.0051091555925661765,0.9680858950214384,0.9948688052508053,1.0,0.9993340393395913,96469,189075,torus,clean,ours_torch,8,1.4392211437225342
1.7613941370775228,0.005133326908697517,0.9683065303427357,0.9947071330555375,1.0,0.9993159139703424,96479,189113,torus,clean,pca_mst,8,1.4122815132141113
2.0188778705948134,0.006118505043366352,0.9658456537409443,0.9938423149676017,0.999989999899999,0.9583410286110061,97863,191627,torus,sigmap0025,wnnc_cuda,8,1.4611811637878418
2.016557021547961,0.006129701575843338,0.9657794865960616,0.9936752489395853,0.999994999975,0.9589630183562272,97786,191481,torus,sigmap0025,ours_torch,8,1.4923791885375977
1.9937470404488502,0.006018121291100199,0.9661453554240224,0.9938018192063108,0.999979999599992,0.9614869449149469,97625,191181,torus,sigmap0025,pca_mst,8,1.4711995124816895
2.291817116574279,0.007128167373688373,0.9691161305291597,0.9950102257709528,0.999994999975,0.9413701907429793,74603,145594,torus,sigmap005,wnnc_cuda,8,1.4122202396392822
2.3161872639934424,0.007223566162744928,0.9680150605749328,0.9954444310950159,0.9999849997749967,0.9399580830386001,74697,145798,torus,sigmap005,ours_torch,8,1.3264460563659668
2.3334107093966336,0.007344310323009383,0.9671888588551353,0.9951566550774735,0.999994999975,0.9326897681225097,75357,147091,torus,sigmap005,pca_mst,8,1.3009729385375977
4.285023484454733,0.02442511801379522,0.6741206196154926,0.9719603920721611,1.0,0.8417379055401182,49668,98314,torus,sigmap01,wnnc_cuda,8,1.1559815406799316
4.110221561222075,0.02224477594329541,0.6987188555282835,0.9806553941210657,1.0,0.8522362405867798,48816,96564,torus,sigmap01,ours_torch,8,1.2127854824066162
3.9404969095540405,0.02046200789843045,0.7295000757839543,0.9832973709660197,1.0,0.7696941338692851,52403,102441,torus,sigmap01,pca_mst,8,1.2599475383758545
1.6146376710765744,0.0037356934999882483,0.9864785370772965,0.9986983078001402,1.0,0.9915741049361584,73195,144172,bunny,clean,wnnc_cuda,8,1.4308700561523438
1.6110368971651552,0.003733070624658774,0.9864017806969531,0.9986130791145736,1.0,0.9916664013046277,73193,144184,bunny,clean,ours_torch,8,1.6244385242462158
1.6228098133223932,0.0037526142888206653,0.9862782469638911,0.9987283850490123,1.0,0.9908053483853276,73061,143911,bunny,clean,pca_mst,8,1.4825904369354248
1.8718127922365464,0.004568029950261598,0.986832227518883,0.9986130791145736,1.0,0.9553557965847459,73047,143686,bunny,sigmap0025,wnnc_cuda,8,1.51802396774292
1.8809882208926607,0.00460364775421281,0.9863641846250533,0.9986732420457105,1.0,0.9547148399493802,73126,143850,bunny,sigmap0025,ours_torch,8,1.4764072895050049
1.839275117549306,0.004440917396696084,0.9864052580632083,0.9986932947496483,1.0,0.9600846104233483,72632,142747,bunny,sigmap0025,pca_mst,8,1.4921462535858154
2.324695929056638,0.006705716294891878,0.9786437208922131,0.9990390775144139,1.0,0.9221057467361562,57333,112743,bunny,sigmap005,wnnc_cuda,8,1.4041149616241455
2.3192565033287615,0.006682059980033295,0.9792448355968548,0.9990290581864408,1.0,0.9230266507124655,57313,112695,bunny,sigmap005,ours_torch,8,1.3728432655334473
2.2997228004124914,0.006588555237999498,0.9786038435640024,0.9989839687282592,1.0,0.9175058935858161,57340,112735,bunny,sigmap005,pca_mst,8,1.282857894897461
4.480211770229767,0.027216119296086437,0.6465945363258213,0.9588205746689112,0.999919993599488,0.7996399228896693,55035,108644,bunny,sigmap01,wnnc_cuda,8,1.2650551795959473
5.619402742148371,0.04779593017647354,0.5340304866766207,0.8828666793983172,0.9861559596287304,0.7809614779130916,63833,126340,bunny,sigmap01,ours_torch,8,1.418581485748291
4.117621171918633,0.02270908060331595,0.6970825633540063,0.9745635471760048,1.0,0.7320637837506268,58309,115221,bunny,sigmap01,pca_mst,8,1.3239262104034424
1.4913155088616863,0.0033050284627818317,0.9851015847643406,0.9986180929682962,1.0,0.9779552918403174,123643,243371,armadillo,clean,wnnc_cuda,8,1.9567351341247559
1.4913913445233964,0.0033041884048723227,0.9853329883465494,0.9986381478811184,1.0,0.9779338890959379,123628,243332,armadillo,clean,ours_torch,8,1.8691704273223877
1.52646417622748,0.003405003451814237,0.9851921898721331,0.9986180929682962,1.0,0.9720753055633093,123092,242248,armadillo,clean,pca_mst,8,1.7376008033752441
1.8173886356578655,0.004471169106594443,0.9818957037700695,0.9982770365027848,1.0,0.9137692574212152,127758,251038,armadillo,sigmap0025,wnnc_cuda,8,1.8388218879699707
1.8200616502060534,0.004466246032897627,0.9820162608098135,0.998447593770344,1.0,0.913445060981966,127965,251479,armadillo,sigmap0025,ours_torch,8,1.9482109546661377
1.8011986363044805,0.00433544796842631,0.9832636304197511,0.9987635702092085,1.0,0.9108316713190103,128623,253595,armadillo,sigmap0025,pca_mst,8,1.8542530536651611
2.3327531737240577,0.007375890149347109,0.9599420614553348,0.9959133674053398,1.0,0.8745774741544372,121600,237803,armadillo,sigmap005,wnnc_cuda,8,1.772273063659668
2.3270921257341746,0.007351796501470866,0.9599591913219097,0.9959385715218058,1.0,0.8747091620088657,121357,237277,armadillo,sigmap005,ours_torch,8,1.8865711688995361
2.363511076608575,0.007525672754591724,0.9584004601177409,0.9963820292153213,1.0,0.8558168496127634,122716,240189,armadillo,sigmap005,pca_mst,8,1.852996826171875
4.1874509785507215,0.023549935408237882,0.6788491923518502,0.9755939852090263,1.0,0.7815982834947226,78650,152788,armadillo,sigmap01,wnnc_cuda,8,1.6603763103485107
4.808949164322789,0.03202520952572625,0.5950116113329277,0.9415394122981464,0.9994496973335335,0.7680671554177756,82702,162261,armadillo,sigmap01,ours_torch,8,1.5072920322418213
4.370019002769609,0.026241161779490842,0.6555937875321597,0.9590467904011999,0.9998799855982717,0.6575580225751566,99066,195493,armadillo,sigmap01,pca_mst,8,1.5096955299377441
1.8092280732518033,0.005224765031279776,0.9734907749872965,0.9941358117826931,1.0,0.9806300168482943,123448,242592,dragon,clean,wnnc_cuda,8,1.644059419631958
1.8122486615139164,0.005237469705015284,0.9737986059685563,0.9940953396437087,1.0,0.9803503588390828,123455,242589,dragon,clean,ours_torch,8,1.844252347946167
1.8418151609001403,0.0050272423391670654,0.9769559714262321,0.9963518021187228,1.0,0.9679988149331519,125486,247960,dragon,clean,pca_mst,8,1.878269910812378
2.1580466020872597,0.006929889220089637,0.9642585114703491,0.9920402378792461,1.0,0.9247271154473697,127877,250928,dragon,sigmap0025,wnnc_cuda,8,2.056157112121582
2.1516414433044386,0.006886476572966658,0.9642658314341359,0.9920837569105322,0.999994999975,0.9238520043213745,127728,250648,dragon,sigmap0025,ours_torch,8,1.8180131912231445
2.140377194658437,0.006516132965535436,0.967408694034863,0.9944189158613478,1.0,0.9199000230119071,129289,254958,dragon,sigmap0025,pca_mst,8,1.7475600242614746
2.651853677576967,0.010127510147157898,0.9339189989309385,0.9892425596603831,0.9998599803972557,0.8875496121648412,116300,227298,dragon,sigmap005,wnnc_cuda,8,1.7380163669586182
2.648624253365577,0.01011741874264138,0.9336006690014704,0.9890632248085526,0.9998649817725394,0.8876845519961718,116309,227365,dragon,sigmap005,ours_torch,8,1.8169074058532715
2.647734621711286,0.009630409737208122,0.9373592807857608,0.9923517574267403,0.999919993599488,0.8712089834173674,120378,236570,dragon,sigmap005,pca_mst,8,1.746633768081665
4.107805162579481,0.023606584099713526,0.7193183092717578,0.9639451411084311,0.999929995099657,0.8034361867644222,92508,179451,dragon,sigmap01,wnnc_cuda,8,1.544783115386963
4.090996738035703,0.023454743471479255,0.7227740106115842,0.9646490989286659,0.9998449759712755,0.8046723061295556,92300,179025,dragon,sigmap01,ours_torch,8,1.4716923236846924
4.478948292725489,0.027410232919545727,0.6525697132373652,0.9542811120536182,0.999889991899109,0.7013702771257403,111618,219089,dragon,sigmap01,pca_mst,8,1.7328903675079346
